"AppellationDorigineControlee","Lait","Type","AireDeProduction","AnneeDobtentionDeLAOC","CI","Departement","Commune","Aire geographique","IDA"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93051","SEINE-SAINT-DENIS","Noisy-le-Grand","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93050","SEINE-SAINT-DENIS","Neuilly-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93049","SEINE-SAINT-DENIS","Neuilly-Plaisance","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93048","SEINE-SAINT-DENIS","Montreuil","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93047","SEINE-SAINT-DENIS","Montfermeil","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93046","SEINE-SAINT-DENIS","Livry-Gargan","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93045","SEINE-SAINT-DENIS","Lilas","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93039","SEINE-SAINT-DENIS","ele-Saint-Denis","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93033","SEINE-SAINT-DENIS","Gournay-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93032","SEINE-SAINT-DENIS","Gagny","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93031","SEINE-SAINT-DENIS","epinay-sur-Seine","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93030","SEINE-SAINT-DENIS","Dugny","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93029","SEINE-SAINT-DENIS","Drancy","BriedeMeaux","1459"
